Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Sprite.brd" as of: 5/20/16 11:49 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.902,0.085,180
C2,Top,0.555,0.482,90
C3,Top,0.533,0.240,180
C4,Top,0.758,0.516,0
C5,Top,1.030,0.118,270
C6,Top,1.081,0.118,270
C7,Top,0.114,0.425,90
C8,Top,0.114,0.283,270
C9,Top,0.449,0.343,270
C10,Top,0.189,0.154,270
D1,Top,0.469,0.061,90
L1,Top,1.093,0.333,270
P1,Top,0.689,1.319,0
P2,Top,1.319,0.689,0
R1,Top,1.094,0.463,90
R2,Top,0.892,0.516,0
R5,Top,0.594,0.114,0
S1,Top,1.185,0.579,0
S2,Top,0.087,1.248,180
S3,Bottom,0.098,0.630,0
S4,Bottom,1.102,1.339,180
U1,Top,0.809,0.280,0
U2,Top,0.256,0.358,90
X1,Top,0.785,0.061,0
